0:0:0:0:0:0:0:1 - - [13/Mar/2014:07:43:06 +0000] "GET /ecblastws HTTP/1.1" 404 969
127.0.0.1 - - [13/Mar/2014:07:44:31 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/Mar/2014:07:44:31 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/Mar/2014:07:44:31 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - asad [13/Mar/2014:07:44:31 +0000] "GET /manager/text/list HTTP/1.1" 200 194
127.0.0.1 - - [13/Mar/2014:09:07:41 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/Mar/2014:09:07:41 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/Mar/2014:09:07:41 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - asad [13/Mar/2014:09:07:41 +0000] "GET /manager/text/list HTTP/1.1" 200 194
127.0.0.1 - - [13/Mar/2014:09:13:03 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/Mar/2014:09:13:03 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/Mar/2014:09:13:03 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - asad [13/Mar/2014:09:13:03 +0000] "GET /manager/text/list HTTP/1.1" 200 194
127.0.0.1 - - [13/Mar/2014:09:14:40 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/Mar/2014:09:14:40 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/Mar/2014:09:14:40 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - asad [13/Mar/2014:09:14:40 +0000] "GET /manager/text/list HTTP/1.1" 200 194
127.0.0.1 - - [13/Mar/2014:09:14:59 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/Mar/2014:09:14:59 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/Mar/2014:09:14:59 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - asad [13/Mar/2014:09:14:59 +0000] "GET /manager/text/list HTTP/1.1" 200 194
127.0.0.1 - - [13/Mar/2014:12:29:56 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/Mar/2014:12:29:56 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/Mar/2014:12:29:56 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - asad [13/Mar/2014:12:29:56 +0000] "GET /manager/text/list HTTP/1.1" 200 194
127.0.0.1 - - [13/Mar/2014:12:29:56 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/Mar/2014:12:29:56 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - asad [13/Mar/2014:12:29:56 +0000] "GET /manager/text/list HTTP/1.1" 200 194
127.0.0.1 - - [13/Mar/2014:12:31:24 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [13/Mar/2014:12:31:24 +0000] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - asad [13/Mar/2014:12:31:24 +0000] "GET /manager/text/list HTTP/1.1" 200 194
